Id;Label;Gender
0;Pavlicheff;M
1;General Ivan Fedorovitch Epanchin;M
2;Princess Bielokonski;F
3;Alexandra Epanchin;F
4;Adelaida Epanchin;F
5;Aglaya Epanchin;F
6;Elizabetha Prokofievna Epanchin;F
7;Prince Nicolai Ivanovitch Muishkin;M
8;Princess Muishkin;M
9; Nastasia Philipovna Barashkoff;F
10;Afanasy Ivanovitch;F
11;Lihachoff;M
12;Parfen Semeonovitch;M
13;Senka;M
14;General Ardalion Alexandrovitch;M
15;Gavrila Ardalionovitch Ivolgin;M
16;Nina Alexandrovna;F
17;Varvara Alexandrovna;F
18; Colia Ivolgin;M
19;Lebedeff;M
20;Kostia Lebedeff;M
21;Vera Lebedeff;F
22;Lubotchka Lebedeff;M
23;Tania;F
24;Vladimir Doktorenko;M
25;General Sokolovitch;M
26;Madame Terentieff;F
27;Captain Terentieff;M
28;Captain Eropegoff;M
29;Marfa Borisovna;F
30;Daria Alexeyevna;F
31;Katia;F
32;Salaskin;M
33;Lukian Timofeyovitch;M
34;Madame Filisoff;F
35;Prince S.;M
36;Nil Alexeyovitch;M
37;Hippolyte Terentieff;M
38;Evgenie Pavlovitch Radomski;M
39;Keller;M
40;Zaleshoff;M
41;Gorsky;M
42;Daniloff;M
43;Antip Burdovsky;M
44;Doktorenko;M
45;Tchebaroff;M
46;Pole;M
47;Ferdishenko;M
48;Mavra;F
49;Ivan Petrovitch Ptitsin;M
50;Marie;F
51;Nicolai Ardalionovitch;M
